"","Sample.name","Sex","Biosample.ID","Population.code","Population.name","Superpopulation.code","Superpopulation.name","Population.elastic.ID","Data.collections"
"37","HG00174","female","SAME124958","FIN","Finnish,Finnish","EUR","European Ancestry,West Eurasia (SGDP)","FIN,FinnishSGDP","1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1671","HG00176","female","SAME124956","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1660","HG00178","female","SAME124964","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"39","HG00179","female","SAME124965","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1664","HG00180","female","SAME123645","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"41","HG00181","male","SAME123644","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"25","HG00182","male","SAME123643","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1675","HG00183","male","SAME123642","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1668","HG00185","male","SAME123648","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"43","HG00186","male","SAME123647","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"26","HG00187","male","SAME123646","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1679","HG00188","male","SAME123641","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1683","HG00190","male","SAME123856","FIN","Finnish,Finnish","EUR","European Ancestry,West Eurasia (SGDP)","FIN,FinnishSGDP","1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"1672","HG00231","female","SAME124126","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"45","HG00232","female","SAME124128","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"28","HG00233","female","SAME124127","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1687","HG00234","male","SAME124123","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1676","HG00236","female","SAME123273","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"47","HG00237","female","SAME124124","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"30","HG00238","female","SAME124131","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1691","HG00239","female","SAME124130","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"32","HG00240","female","SAME123221","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1680","HG00243","male","SAME123224","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"49","HG00244","male","SAME123217","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"34","HG00245","female","SAME123218","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1695","HG00246","male","SAME123219","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1688","HG00250","female","SAME123054","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"53","HG00251","male","SAME123053","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"36","HG00252","male","SAME123052","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1699","HG00253","female","SAME123051","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1692","HG00255","female","SAME123049","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"55","HG00256","male","SAME123048","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"38","HG00257","female","SAME123047","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1703","HG00258","female","SAME123057","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1707","HG00260","male","SAME123582","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1696","HG00262","female","SAME123580","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"57","HG00263","female","SAME123581","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"40","HG00264","male","SAME123578","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1711","HG00265","male","SAME123579","GBR","British","EUR","European Ancestry","GBR","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1700","HG00267","male","SAME123577","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"59","HG00268","female","SAME123574","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium, Phase 2,Human Genome Structural Variation Consortium, Phase 3,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"42","HG00269","female","SAME123575","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1","HG00271","male","SAME123417","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1715","HG00272","female","SAME123420","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1704","HG00274","female","SAME123422","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"82","HG00275","female","SAME123421","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"2","HG00276","female","SAME123424","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1719","HG00277","male","SAME123423","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1708","HG00281","female","SAME122832","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"83","HG00282","female","SAME122833","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1798","HG00284","male","SAME122835","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"3","HG00288","female","SAME1839246","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"4","HG00290","male","SAME1839057","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1801","HG00304","female","SAME1840118","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"
"1712","HG00306","female","SAME124159","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"6","HG00308","male","SAME124161","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,Geuvadis"
"1804","HG00309","female","SAME124160","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"7","HG00310","male","SAME124338","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1807","HG00311","male","SAME124339","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1716","HG00313","female","SAME124337","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"8","HG00315","female","SAME124335","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1720","HG00318","female","SAME124333","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"
"85","HG00319","female","SAME124334","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1724","HG00320","female","SAME123797","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"87","HG00321","male","SAME123796","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1810","HG00323","female","SAME123795","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1728","HG00325","male","SAME123793","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"89","HG00326","female","SAME123792","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"9","HG00327","female","SAME123791","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1813","HG00328","female","SAME123799","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1816","HG00330","female","SAME123985","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1732","HG00332","female","SAME123987","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"10","HG00334","female","SAME123981","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1819","HG00335","male","SAME123982","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1736","HG00337","female","SAME123984","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"91","HG00338","male","SAME123990","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"11","HG00339","female","SAME123991","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"12","HG00341","male","SAME124922","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1822","HG00342","male","SAME124924","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1740","HG00344","female","SAME125255","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"93","HG00345","male","SAME124919","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"13","HG00346","female","SAME125264","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
"1744","HG00349","female","SAME124925","FIN","Finnish","EUR","European Ancestry","FIN","1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"
